iter	Passed	Remaining
0	103	103321	1	108	53992	2	112	37283	3	116	29064	4	119	23715	112	18690
6	122	17387
7	129	16057
8	131	14518
9	135	13387
10	137	12328
11	138	11431
12	141	10741
13	143	10090
14	145	9530
15	148	9137
16	150	8718
17	152	8329
18	154	79819	149	7315
20	153	7156
2121	161	71922	159	6790
23	161	6577
24	163	6393
25	166	6242
26	169	6101
27	171	5964
28	173	5819
29	176	5693
30	178	5567
31	179	5442
32	182	5347
33	184	5249
34	187	5164
35	189	5076
36	191	4983
37	193	4905
38	197	4856
39	199	4790
40	201	4722
41	204	4659
42	206	4594
43	208	4531
44	211	4484
45	214	4444
46	216	4395
47	219	4345
48	221	4295
49	223	4250
50	226	4208
51	228	4166
52	230	4120
53	233	4084
54	235	4041
55	237	4001
56	239	3967
57	242	3938
58	244	3903
59	247	3871
60	249	3835
61	251	3809
62	254	3784
63	256	3753
64	259	3725
65	261	3700
66	263	3673
67	266	3651
68	268	3627
69	271	3601
70	273	3574
71	275	3550
72	277	3526
73	298	3733
74	300	3711
75	309	3766
76	311	3738
77	314	3712
78	317	3696
79	319	3670
80	321	3645
81	323	3623
82	325	3597
83	328	3577
84	330	3559
85	333	3540
86	335	3518
87	337	3496
88	339	3477
89	342	3459
90	344	3444
91	346	3424
92	349	3407
93	351	3389
94	353	3370
95	356	3361
96	359	3345
97	361	3327
98	363	3312
99	366	3294
100	368	3277
101	370	3262
102	373	3250
103	375	3233
104	377	3218
105	379	3201
106	381	3185
107	384	3176
108	387	3165
109	389	3150
110	391	3137
111	393	3122
112	396	3112
113	399	3101
114	401	3086
115	403	3072
116	405	3059
117	407	3045
118	409	3032
119	412	3023
120	414	3012
121	417	3001
122	419	2988
123	421	2978
124	424	2969
125	426	2961
126	429	2950
127	431	2937
128	433	2924
129	435	2912
130	438	2905
131	440	2894
132	442	2882
133	444	2873
134	447	2864
135	449	2855
136	452	2849
137	454	2841
138	457	2831
139	458	2819
140	461	2811
141	463	2799
142	465	2792
143	468	2783
144	470	2773
145	472	2766
146	474	2755
147	477	2747
148	479	2738
149	481	2730
150	484	2722
151	486	2714
152	488	2702
153	490	2695
154	493	2688
155	495	2680
156	497	2671
157	499	2664
158	502	2655
159	504	2647
160	507	2642
161	509	2636
162	511	2628
163	514	2622
164	516	2613
165	518	2605
166	521	2600
167	523	2591
168	525	2584
169	527	2574
170	529	2566
171	531	2559
172	534	2553
173	535	2543
174	538	2537
175	540	2529
176	542	2522
177	544	2514
178	546	2508
179	549	2502
180	551	2496
181	553	2488
182	555	2481
183	558	2474
184	560	2470
185	563	2464
186	565	2457
187	567	2450
188	569	2444
189	572	2438
190	574	2433
191	576	2427
192	579	2423
193	581	2416
194	583	2410
195	585	2402
196	587	2396
197	590	2390
198	592	2385
199	594	2378
200	596	2373
201	598	2366
202	600	2359
203	603	2355
204	606	2351
205	608	2345
206	610	2339
207	613	2334
208	615	2328
209	618	2326
210	620	2321
211	623	2317
212	624	2309
213	627	2303
214	630	2300
215	632	2295
216	634	2290
217	637	2286
218	639	2281
219	641	2276
220	645	2273
221	647	2267
222	649	2262
223	651	2258
224	654	2253
225	656	2250
226	659	2245
227	661	2239
228	663	2234
229	665	2229
230	668	2224
231	671	2222
232	673	2217
233	675	2212
234	678	2207
235	680	2203
236	682	2197
237	685	2194
238	688	2191
239	690	2185
240	692	2181
241	694	2175
242	696	2170
243	700	2169
244	702	2166
245	705	2161
246	707	2156
247	709	2150
248	711	2145
249	713	2141
250	716	2137
251	718	2132
252	720	2126
253	722	2122
254	724	2117
255	727	2113
256	728	2107
257	731	2102
258	733	2097
259	735	2093
260	737	2087
261	739	2082
262	741	2078
263	743	2073
264	745	2068
265	748	2065
266	750	2061
267	753	2058
268	755	2054
269	757	2048
270	759	2044
271	762	2040
272	764	2036
273	766	2031
274	769	2027
275	771	2022
276	773	2018
277	775	2013
278	777	2009
279	779	2004
280	782	2001
281	784	1998
282	787	1994
283	789	1989
284	791	1986
285	793	1981
286	796	1979
287	798	1975
288	801	1971
289	803	1966
290	805	1963
291	808	1961
292	811	1956
293	812	1951
294	814	1947
295	817	1943
296	819	1940
297	822	1937
298	824	1933
299	826	1929
300	829	1925
301	831	1921
302	833	1917
303	836	1915
304	838	1911
305	841	1907
306	843	1903
307	845	1899
308	847	1894
309	849	1890
310	851	1885
311	853	1881
312	855	1877
313	857	1873
314	860	1870
315	862	1865
316	864	1862
317	866	1859
318	869	1855
319	871	1851
320	873	1847
321	875	1844
322	878	1842
323	881	1838
324	883	1835
325	886	1831
326	888	1829
327	891	1825
328	893	1822
329	895	1818
330	898	1815
331	900	1811
332	902	1808
333	905	1806
334	908	1802
335	910	1798
336	912	1795
337	914	1791
338	917	1788
339	920	1786
340	922	1782
341	924	1779
342	926	1775
343	928	1771
344	930	1767
345	934	1766
346	936	1762
347	938	1759
348	940	1754
349	942	1751
350	945	1747
351	947	1744
352	950	1741
353	952	1737
354	954	1733
355	956	1729
356	958	1726
357	962	1726
358	965	1723
359	967	1719
360	969	1716
361	971	1712
362	973	1709
363	976	1706
364	978	1702
365	981	1699
366	983	1695
367	985	1691
368	987	1688
369	990	1685
370	992	1682
371	994	1679
372	996	1675
373	999	1672
374	1001	1669
375	1003	1665
376	1006	1662
377	1008	1658
378	1009	1654
379	1012	1651
380	1014	1648
381	1017	1645
382	1019	1642
383	1021	1639
384	1024	1636
385	1026	1632
386	1029	1630
387	1031	1627
388	1033	1623
389	1035	1619
390	1037	1616
391	1040	1613
392	1042	1610
393	1044	1607
394	1047	1603
395	1049	1600
396	1051	1597
397	1054	1594
398	1056	1591
399	1059	1588
400	1060	1584
401	1063	1582
402	1065	1579
403	1068	1576
404	1071	1573
405	1073	1570
406	1075	1567
407	1078	1564
408	1080	1561
409	1083	1559
410	1085	1556
411	1087	1552
412	1089	1548
413	1091	1545
414	1094	1542
415	1096	1539
416	1099	1536
417	1101	1533
418	1103	1530
419	1105	1526
420	1107	1523
421	1110	1520
422	1112	1517
423	1114	1513
424	1116	1510
425	1118	1506
426	1120	1504
427	1123	1501
428	1126	1499
429	1128	1496
430	1130	1492
431	1132	1489
432	1134	1485
433	1136	1482
434	1140	1480
435	1141	1477
436	1144	1473
437	1146	1470
438	1148	1467
439	1150	1464
440	1152	1461
441	1155	1458
442	1157	1455
443	1159	1452
444	1161	1448
445	1163	1445
446	1166	1443
447	1168	1440
448	1171	1437
449	1174	1434
450	1175	1431
451	1178	1428
452	1180	1425
453	1183	1422
454	1184	1445545455	1185	456456	1188	14457457	1196	14458458	1195	14459459	1199	14460460	1202	14461461	1205	14462462	1208	14463463	1212	14464	1218	1402
465	1221	1399
